C:/dev/tomato_editor/tomato_editor/data/tomato_editor.ctm Timings
ordinal, date, duration, status
0, 2022-07-02 19:55.23, 0.172s, succeeded
1, 2022-07-02 19:56.30, 0.172s, succeeded
2, 2022-07-02 20:10.13, 0.188s, succeeded
3, 2022-07-02 20:10.27, 0.172s, succeeded
4, 2022-07-02 20:10.34, 0.172s, succeeded
5, 2022-07-02 20:42.55, 0.172s, succeeded
6, 2022-07-02 21:42.36, 0.187s, succeeded
7, 2022-07-08 02:30.06, 0.297s, succeeded
8, 2022-07-08 02:41.41, 0.203s, succeeded
9, 2022-07-08 02:42.07, 0.218s, succeeded
10, 2022-07-08 02:45.17, 0.218s, succeeded
11, 2022-07-08 02:46.44, 0.203s, succeeded
12, 2022-07-08 02:48.28, 0.203s, succeeded
13, 2022-07-08 03:01.21, 0.218s, succeeded
14, 2022-07-08 03:01.58, 0.219s, succeeded
15, 2022-07-08 03:02.09, 0.203s, succeeded
16, 2022-07-08 03:02.21, 0.203s, succeeded
17, 2022-07-08 03:03.59, 0.204s, succeeded
18, 2022-07-08 14:25.21, 0.266s, succeeded
19, 2022-07-08 14:25.26, 0.203s, succeeded
20, 2022-07-08 16:40.06, 0.296s, succeeded
21, 2022-07-08 16:41.54, 0.219s, succeeded
22, 2022-07-08 16:42.33, 0.218s, succeeded
23, 2022-07-08 16:42.58, 0.219s, succeeded
24, 2022-07-08 16:44.12, 0.249s, succeeded
25, 2022-07-08 16:46.08, 0.203s, succeeded
26, 2022-07-08 17:06.53, 0.219s, succeeded
27, 2022-07-08 17:17.29, 0.234s, succeeded
28, 2022-07-08 17:18.03, 0.219s, succeeded
29, 2022-07-08 17:18.45, 0.218s, succeeded
30, 2022-07-08 17:19.59, 0.218s, succeeded
31, 2022-07-08 17:20.49, 0.217s, succeeded
32, 2022-07-08 17:58.26, 0.234s, succeeded
33, 2022-07-08 18:04.45, 0.219s, succeeded
34, 2022-07-08 18:12.38, 0.219s, succeeded
35, 2022-07-08 18:14.16, 0.219s, succeeded
36, 2022-07-08 18:16.54, 0.219s, succeeded
37, 2022-07-08 18:29.23, 0.202s, succeeded
38, 2022-07-08 18:30.54, 0.203s, succeeded
39, 2022-07-08 18:31.17, 0.219s, succeeded
40, 2022-07-08 18:31.39, 0.219s, succeeded
41, 2022-07-08 18:35.12, 0.219s, succeeded
42, 2022-07-08 18:37.21, 0.218s, succeeded
43, 2022-07-08 18:38.00, 0.219s, succeeded
44, 2022-07-08 18:39.50, 0.219s, succeeded
45, 2022-07-08 18:39.57, 0.219s, succeeded
46, 2022-07-08 18:40.35, 0.235s, succeeded
47, 2022-07-08 18:41.49, 0.219s, succeeded
48, 2022-07-08 18:42.31, 0.203s, succeeded
49, 2022-07-08 18:47.54, 0.203s, succeeded
50, 2022-07-08 18:48.14, 0.219s, succeeded
51, 2022-07-08 19:03.06, 0.219s, succeeded
52, 2022-07-08 19:12.22, 0.219s, succeeded
53, 2022-07-08 19:15.54, 0.219s, succeeded
54, 2022-07-08 19:17.57, 0.219s, succeeded
55, 2022-07-08 19:20.36, 0.219s, succeeded
56, 2022-07-08 19:21.01, 0.235s, succeeded
57, 2022-07-10 14:35.52, 0.188s, succeeded
58, 2022-07-10 15:19.04, 0.187s, succeeded
59, 2022-07-10 15:32.54, 0.172s, succeeded
60, 2022-07-10 15:37.07, 0.172s, succeeded
61, 2022-07-10 15:38.14, 0.171s, succeeded
62, 2022-07-10 15:38.37, 0.188s, succeeded
63, 2022-07-10 15:45.28, 0.172s, succeeded
64, 2022-07-10 15:45.59, 0.172s, succeeded
65, 2022-07-10 16:14.13, 0.188s, succeeded
66, 2022-07-10 16:17.59, 0.172s, succeeded
67, 2022-07-10 16:22.52, 0.172s, succeeded
68, 2022-07-10 16:32.18, 0.188s, succeeded
69, 2022-07-10 16:38.57, 0.172s, succeeded
70, 2022-07-10 16:46.30, 0.172s, succeeded
71, 2022-07-10 16:55.09, 0.172s, succeeded
72, 2022-07-10 16:55.34, 0.171s, succeeded
73, 2022-07-10 16:58.15, 0.172s, succeeded
74, 2022-07-10 17:00.31, 0.171s, succeeded
75, 2022-07-10 17:00.40, 0.171s, succeeded
76, 2022-07-10 20:38.02, 0.172s, succeeded
77, 2022-07-10 20:38.59, 0.172s, succeeded
78, 2022-07-10 20:39.13, 0.172s, succeeded
79, 2022-07-10 20:39.40, 0.187s, succeeded
80, 2022-07-10 20:45.21, 0.172s, succeeded
81, 2022-07-10 20:45.32, 0.172s, succeeded
82, 2022-07-10 20:48.25, 0.187s, succeeded
83, 2022-07-10 20:48.45, 0.172s, succeeded
84, 2022-07-10 20:49.19, 0.172s, succeeded
85, 2022-07-10 20:58.48, 0.203s, succeeded
86, 2022-07-10 21:00.10, 0.187s, succeeded
87, 2022-07-10 21:00.32, 0.188s, succeeded
88, 2022-07-10 21:01.04, 0.172s, succeeded
89, 2022-07-10 21:05.03, 0.188s, succeeded
90, 2022-07-10 21:09.07, 0.172s, succeeded
91, 2022-07-10 21:09.31, 0.187s, succeeded
92, 2022-07-10 21:09.37, 0.172s, succeeded
93, 2022-07-10 21:09.58, 0.172s, succeeded
94, 2022-07-10 21:41.11, 0.172s, succeeded
95, 2022-07-10 21:44.59, 0.172s, succeeded
96, 2022-07-10 21:45.35, 0.171s, succeeded
97, 2022-07-10 21:54.25, 0.172s, succeeded
98, 2022-07-10 21:58.16, 0.172s, succeeded
99, 2022-07-10 22:22.19, 0.188s, succeeded
100, 2022-07-10 22:34.27, 0.188s, succeeded
